#SUBMITTED ID	LOCATION_ARM	NAME	SYMBOL
FBgn0000008	2R	arc	a
FBgn0000042	X	Actin 5C	Act5C
FBgn0000078	2R	Amylase distal	Amy-d
FBgn0000079	2R	Amylase proximal	Amy-p
FBgn0000083	3R	Annexin B9	AnxB9
FBgn0000092	X	daywake	dyw
FBgn0000094	3R	Andropin	Anp
FBgn0000114	2L	bruno 1	bru1
FBgn0000119	2R	arrow	arr
FBgn0000120	2L	Arrestin 1	Arr1
FBgn0000140	3R	abnormal spindle	asp
FBgn0000239	2L	burgundy	bur
FBgn0000261	3L	Catalase	Cat
FBgn0000276	3R	Cecropin A1	CecA1
FBgn0000277	3R	Cecropin A2	CecA2
FBgn0000299	2L	Collagen type IV alpha 1	Col4a1
FBgn0000307	2L	chiffon	chif
FBgn0000355	3L	Chorion protein 15	Cp15
FBgn0000404	3L	Cyclin A	CycA
FBgn0000405	2R	Cyclin B	CycB
FBgn0000406	2L	Cytochrome b5-related	Cyt-b5-r
FBgn0000416	3R	Saposin-related	Sap-r
FBgn0000454	3R	Dipeptidase B	Dip-B
FBgn0000473	2R	Cytochrome P450 6a2	Cyp6a2
FBgn0000489	3L	Protein kinase, cAMP-dependent, catalytic subunit 3	Pka-C3
FBgn0000504	3R	doublesex	dsx
FBgn0000562	2R	egalitarian	egl
FBgn0000592	3L	Esterase 6	Est-6
FBgn0000633	2R	teiresias	tei
FBgn0000639	3L	Fat body protein 1	Fbp1
FBgn0000640	2L	Fat body protein 2	Fbp2
FBgn0000659	3R	fork head	fkh
FBgn0000709	X	flightless I	fliI
FBgn0001086	2L	fizzy	fzy
FBgn0001099	3L	gonadal	gdl
FBgn0001112	3R	Glucose dehydrogenase	Gld
FBgn0001114	2L	Glutactin	Glt
FBgn0001124	2R	Glutamate oxaloacetate transaminase 1	Got1
FBgn0001125	2L	Glutamate oxaloacetate transaminase 2	Got2
FBgn0001137	2L	gurken	grk
FBgn0001147	2R	gooseberry-neuro	gsb-n
FBgn0001149	3R	Glutathione S transferase D1	GstD1
FBgn0001150	X	giant	gt
FBgn0001187	2R	Hexokinase C	Hex-C
FBgn0001202	2L	hook	hook
FBgn0001215	3R	Heterogeneous nuclear ribonucleoprotein at 98DE	Hrb98DE
FBgn0001250	X	inflated	if
FBgn0001253	3L	Ecdysone-inducible gene E1	ImpE1
FBgn0001269	2R	invected	inv
FBgn0001280	3R	janus A	janA
FBgn0001285	2R	Jonah 44E	Jon44E
FBgn0001296	3R	karmoisin	kar
FBgn0001297	3R	kayak	kay
FBgn0001308	2R	Kinesin heavy chain	Khc
FBgn0001313	Y	male fertility factor kl2	kl-2
FBgn0001941	2L	infertile crescent	ifc
FBgn0001942	2L	eukaryotic translation initiation factor 4A	eIF4A
FBgn0001961	2L	Actin-related protein 2/3 complex, subunit 1	Arpc1
FBgn0001981	
FBgn0002069	2R	Aspartyl-tRNA synthetase	AspRS
FBgn0002121	2L	lethal (2) giant larvae	l(2)gl
FBgn0002441	3R	lethal (3) malignant brain tumor	l(3)mbt
FBgn0002525	2L	Lamin	Lam
FBgn0002526	3L	Laminin A	LanA
FBgn0002562	X	Larval serum protein 1 alpha	Lsp1alpha
FBgn0002563	2L	Larval serum protein 1 beta	Lsp1beta
FBgn0002564	3L	Larval serum protein 1 gamma	Lsp1gamma
FBgn0002565	3L	Larval serum protein 2	Lsp2
FBgn0002569	2R	Maltase A2	Mal-A2
FBgn0002570	2R	Maltase A1	Mal-A1
FBgn0002571	2R	Maltase A3	Mal-A3
FBgn0002638	3L	Regulator of chromosome condensation 1	Rcc1
FBgn0002641	X	maroon-like	mal
FBgn0002719	3R	Malic enzyme	Men
FBgn0002778	3L	minidiscs	mnd
FBgn0002789	2R	Muscle protein 20	Mp20
FBgn0002842	3L	spermatocyte arrest	sa
FBgn0002855	2L	Accessory gland protein 26Aa	Acp26Aa
FBgn0002856	2L	Accessory gland protein 26Ab	Acp26Ab
FBgn0002863	3R	Accessory gland protein 95EF	Acp95EF
FBgn0002868	3R	Metallothionein A	MtnA
FBgn0002869	3R	Metallothionein B	MtnB
FBgn0002873	X	mushroom body defect	mud
